id;login;pass;name
1;Ирак;Австрия Центральный;Фантастический ввести
2;вычислить пл. Expanded;Носки Куртка;область encompassing пл.
3;генерировать Спорт;Международный розовый;Автомобильное Cambridgeshire
4;Bedfordshire;optimize;обувь
5;пр.;черный Auto;кросс-платформенный Натуральный
6;Checking;synergies Неодимовый;web-readiness Саудовская Dong
7;монитор Franc strategic;интерфейс аналитик Investment;область администратор interactive
8;holistic передать Ивановская;орхидный;Adaptive
9;Натуральный ограничитель markets;Reduced Berkshire;Клатч
10;лазурный ЭВМ Тунис;logistical;улица impactful вспомогательный
